id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants 
4880162,put,"ConcurrentHashMap<String,OSecurityUser>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/metadata/security/OSecurityUser;)Lcom/orientechnologies/orient/core/metadata/security/OSecurityUser;,OSecurityUser,2,0
4880162,put,"Map<String,ORecordSerializer>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/serialization/serializer/record/ORecordSerializer;)Lcom/orientechnologies/orient/core/serialization/serializer/record/ORecordSerializer;,ORecordSerializer,2,0
4880162,put,"HashMap<OIdentifiable,Change>",(Lcom/orientechnologies/orient/core/db/record/OIdentifiable;Lcom/orientechnologies/orient/core/storage/ridbag/sbtree/Change;)Lcom/orientechnologies/orient/core/storage/ridbag/sbtree/Change;,Change,2,0
4880162,put,"ConcurrentHashMap<ORID,ORID>",(Lcom/orientechnologies/orient/core/id/ORID;Lcom/orientechnologies/orient/core/id/ORID;)Lcom/orientechnologies/orient/core/id/ORID;,ORID,2,0
4880162,put,"Map<List<>,OResultInternal>",(Ljava/util/List;Lcom/orientechnologies/orient/core/sql/executor/OResultInternal;)Lcom/orientechnologies/orient/core/sql/executor/OResultInternal;,OResultInternal,2,0
4880162,put,"Map<String,ORid>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/sql/parser/ORid;)Lcom/orientechnologies/orient/core/sql/parser/ORid;,ORid,2,0
4880162,put,"Map<String,OWhereClause>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/sql/parser/OWhereClause;)Lcom/orientechnologies/orient/core/sql/parser/OWhereClause;,OWhereClause,2,0
4880162,put,"Map<IndexCondPair,OOrBlock>",(Lcom/orientechnologies/orient/core/sql/executor/IndexCondPair;Lcom/orientechnologies/orient/core/sql/parser/OOrBlock;)Lcom/orientechnologies/orient/core/sql/parser/OOrBlock;,OOrBlock,2,0
4880162,put,"Map<String,OStatement>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/sql/parser/OStatement;)Lcom/orientechnologies/orient/core/sql/parser/OStatement;,OStatement,2,0
4880162,put,"Map<PatternEdge,PatternEdge>",(Lcom/orientechnologies/orient/core/sql/executor/PatternEdge;Lcom/orientechnologies/orient/core/sql/executor/PatternEdge;)Lcom/orientechnologies/orient/core/sql/executor/PatternEdge;,PatternEdge,2,0
4880162,put,"Map<Object,ORID>",(Ljava/lang/Object;Lcom/orientechnologies/orient/core/id/ORID;)Lcom/orientechnologies/orient/core/id/ORID;,ORID,2,0
4880162,put,"HashMap<PageKey,OLogSequenceNumber>",(Lcom/orientechnologies/orient/core/storage/cache/local/OWOWCache$PageKey;Lcom/orientechnologies/orient/core/storage/impl/local/paginated/wal/OLogSequenceNumber;)Lcom/orientechnologies/orient/core/storage/impl/local/paginated/wal/OLogSequenceNumber;,OLogSequenceNumber,2,0
4880162,put,"ConcurrentHashMap<PageKey,OCachePointer>",(Lcom/orientechnologies/orient/core/storage/cache/local/OWOWCache$PageKey;Lcom/orientechnologies/orient/core/storage/cache/OCachePointer;)Lcom/orientechnologies/orient/core/storage/cache/OCachePointer;,OCachePointer,2,0
4880162,put,"TreeMap<Integer,OCluster>",(Ljava/lang/Integer;Lcom/orientechnologies/orient/core/storage/OCluster;)Lcom/orientechnologies/orient/core/storage/OCluster;,OCluster,2,0
4880162,put,"Map<String,OBaseIndexEngine>",(Ljava/lang/String;Lcom/orientechnologies/orient/core/index/engine/OBaseIndexEngine;)Lcom/orientechnologies/orient/core/index/engine/OBaseIndexEngine;,OBaseIndexEngine,2,0
4880162,put,"Map<OTransactionId,OTransactionData>",(Lcom/orientechnologies/orient/core/tx/OTransactionId;Lcom/orientechnologies/orient/core/tx/OTransactionData;)Lcom/orientechnologies/orient/core/tx/OTransactionData;,OTransactionData,2,0
4880162,put,"Map<Long,FileChanges>",(Ljava/lang/Long;Lcom/orientechnologies/orient/core/storage/impl/local/paginated/atomicoperations/OAtomicOperationBinaryTracking$FileChanges;)Lcom/orientechnologies/orient/core/storage/impl/local/paginated/atomicoperations/OAtomicOperationBinaryTracking$FileChanges;,FileChanges,2,0
4880162,put,"Map<Long,OTransactionData>",(Ljava/lang/Long;Lcom/orientechnologies/orient/core/tx/OTransactionData;)Lcom/orientechnologies/orient/core/tx/OTransactionData;,OTransactionData,2,0
4880162,put,"Map<Long,OCacheEntryChanges>",(Ljava/lang/Long;Lcom/orientechnologies/orient/core/storage/impl/local/paginated/atomicoperations/OCacheEntryChanges;)Lcom/orientechnologies/orient/core/storage/impl/local/paginated/atomicoperations/OCacheEntryChanges;,OCacheEntryChanges,2,0
4880162,put,"Map<ORecordOperation,OPhysicalPosition>",(Lcom/orientechnologies/orient/core/db/record/ORecordOperation;Lcom/orientechnologies/orient/core/storage/OPhysicalPosition;)Lcom/orientechnologies/orient/core/storage/OPhysicalPosition;,OPhysicalPosition,2,0
4880162,put,"Map<Long,FreezeParameters>",(Ljava/lang/Long;Lcom/orientechnologies/orient/core/storage/impl/local/paginated/atomicoperations/operationsfreezer/OperationsFreezer$FreezeParameters;)Lcom/orientechnologies/orient/core/storage/impl/local/paginated/atomicoperations/operationsfreezer/OperationsFreezer$FreezeParameters;,FreezeParameters,2,0
4880162,put,"Map<OLogSequenceNumber,EventWrapper>",(Lcom/orientechnologies/orient/core/storage/impl/local/paginated/wal/OLogSequenceNumber;Lcom/orientechnologies/orient/core/storage/impl/local/paginated/wal/cas/CASDiskWriteAheadLog$EventWrapper;)Lcom/orientechnologies/orient/core/storage/impl/local/paginated/wal/cas/CASDiskWriteAheadLog$EventWrapper;,EventWrapper,2,0
4880162,put,"Map<OType,KeyNormalizers>",(Lcom/orientechnologies/orient/core/metadata/schema/OType;Lcom/orientechnologies/orient/core/storage/index/nkbtree/normalizers/KeyNormalizers;)Lcom/orientechnologies/orient/core/storage/index/nkbtree/normalizers/KeyNormalizers;,KeyNormalizers,2,0
4880162,put,"Map<Integer,MemoryFile>",(Ljava/lang/Integer;Lcom/orientechnologies/orient/core/storage/memory/ODirectMemoryOnlyDiskCache$MemoryFile;)Lcom/orientechnologies/orient/core/storage/memory/ODirectMemoryOnlyDiskCache$MemoryFile;,MemoryFile,2,0
4880162,put,"ConcurrentHashMap<Integer,BTree>",(Ljava/lang/Integer;Lcom/orientechnologies/orient/core/storage/index/sbtreebonsai/global/btree/BTree;)Lcom/orientechnologies/orient/core/storage/index/sbtreebonsai/global/btree/BTree;,BTree,2,0
